author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","408","","2023-08-31T23:30:00+05:30","Kindle Bangla","Kindle Bangla","অরণ্যের দিনরাত্রি","ec399d19-1b13-4dac-9a16-bca4a0ed8bd1"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","409","","2023-09-01T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ফিরে আসা","0014d4a6-a666-47f4-aa02-efc7f313e885"
"গঙ্গোপাধ্যায, সুনীল","সুনীল গঙ্গোপাধ্যায","","410","","2024-04-28T23:30:00+05:30","Kindle Bangla","Kindle Bangla","নিঃসঙ্গ সম্রাট","4ad8ec1f-06b5-4839-9e18-28ab724d5ebf"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","411","","2023-08-31T23:30:00+05:30","Kindle Bangla","Kindle Bangla","মনের মানুষ","d7bd4f30-757a-4cbf-8246-1559ab3cc074"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","412","mobi-asin:JDP8X0MQNIQR3UFUTUTP0R6VE6QJXSUS","2023-04-19T05:30:00+05:30","Kindle Bangla","Kindle Bangla","কাকাবাবু সমগ্র","e244c973-b232-4030-bb54-af418e027b6d"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","413","","2020-09-07T05:30:00+05:30","Kindle Bangla","Kindle Bangla","অর্ধেক জীবন","c71b8e42-42c4-420e-a64d-7be58a9d8dd9"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","414","","2017-05-01T05:30:00+05:30","Kindle Bangla","Kindle Bangla","প্রথম আলো (অখন্ড)","8e5dd5c8-9de7-4cdc-8eb5-c5d0fea8c4b9"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","415","","2023-03-13T05:30:00+05:30","Kindle Bangla","Kindle Bangla","পুরুষের চোখ","774f62d4-f955-4c83-9527-9d0ad86c7301"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","416","","2023-04-09T23:30:00+05:30","Kindle Bangla","Kindle Bangla","অন্দরমহল","094ab78a-d648-4484-82b9-3fdec255abb2"
"গঙ্গোপাধ্যায়, সুনীল","সুনীল গঙ্গোপাধ্যায়","","417","","2023-04-08T23:30:00+05:30","Kindle Bangla","Kindle Bangla","সেই সময়","88ae95b2-fc11-40b4-990d-41b65acd8bf6"
"দে, পাঁচকড়ি","পাঁচকড়ি দে","","419","","2023-09-18T23:30:00+05:30","Kindle Bangla","Kindle Bangla","হত্যা-রহস্য","67359249-9f19-44a8-b407-382c32b790f4"
"দেব, অনীশ","অনীশ দেব","","420","","2023-09-25T23:30:00+05:30","Kindle Bangla","Kindle Bangla","বজ্রগোলাপ","8b61d510-f5ec-4f93-b3de-401e0709b249"
"ভার্ন, জুল","জুল ভার্ন","","421","","2020-05-12T05:30:00+05:30","Kindle Bangla","Kindle Bangla","টোয়েণ্টি থাউজ্যাণ্ড লিগ্‌স আণ্ডার দি সী","f2c5879d-7ace-48b5-a994-560a31f41fe9"
"হোসেন, কাজী আনোয়ার","কাজী আনোয়ার হোসেন","","422","","2023-08-30T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ডেথ ট্র্যাপ (২য় খন্ড)","247f1bc5-9082-4873-a7b4-c82cdf0b6857"
"হোসেন, কাজী আনোয়ার","কাজী আনোয়ার হোসেন","","423","","2023-08-30T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ডেথ ট্র্যাপ (১ম খন্ড)","50fc1ae3-8a4d-4e37-a5b5-39e228aa22c8"
"চক্রবর্তী, শিবরাম","শিবরাম চক্রবর্তী","","450","","2023-09-19T23:30:00+05:30","Kindle Bangla","Kindle Bangla","৫০ টি দমফাটা হাসির গল্প","44ff6f61-489b-4eb7-a99b-987f70558d07"
"চক্রবর্তী, শিবরাম","শিবরাম চক্রবর্তী","","451","","2023-09-18T23:30:00+05:30","Kindle Bangla","Kindle Bangla","শিবরাম কিশোর রচনা সমগ্র","2a46a28a-0625-40ef-a5b0-ba539daba1dd"
"King, Stephen","Stephen King","9781451627282","476","amazon:1451627289,goodreads:10644930,isbn:9781451627282","2011-11-08T00:00:00+05:30","Scribner","Historical, Science Fiction, Fantasy, Thriller, Fiction, Horror, Alternative History","11/22/63","371a64cc-dc1e-4c78-b394-0ec68540761d"
"Hazelwood, Ali","Ali Hazelwood","9780593336861","485","goodreads:61326735,amazon:0593336860,isbn:9780593336861","2023-06-13T05:30:00+05:30","Penguin Publishing Group","Romance, Contemporary, Adult","Love, Theoretically","232c80f3-a87f-4a5c-95cd-ef6cb7b9d7ba"
"Crouch, Blake","Blake Crouch","9781101904220","486","goodreads:27833670,isbn:9781101904220,amazon:1101904224","2016-07-26T05:30:00+05:30","Macmillan","Adult, Ciencia ficción, Science Fiction, Fantasy, Mystery, Novela, Thriller","Dark Matter","2c8222d0-a413-405b-95f5-67af69794ee7"
"Crouch, Blake","Blake Crouch","9781524759780","487","kobo:recursion-10,ean:9781524759780,fictiondb:blake-crouch~recursion~2365695~b,goodreads:42046112,google:z7TQwAEACAAJ,amazon_uk:B07LCSPGTN,amazon:1524759783,isbn:9781524759780,ff:c/blake-crouch/recursion,moly_hu:blake-crouch-recursion,barnesnoble:w/recursion-blake-crouch/1129556642","2019-06-11T12:30:00+05:30","Ballantine Books","Science Fiction, Thriller, Mystery, Adult, Fantasy","Recursion","6e2ca4b6-bfa2-4b58-8b0f-7e0245c56d28"
"Black, Holly","Holly Black","9780316310338","488","isbn:9780316310338,amazon:0316310336,goodreads:26032887","2019-01-08T13:30:00+05:30","little, brown books for young readers","Fantasy, Young Adult, Romance","The Wicked King","07e46b70-7624-4b5f-9935-35813993c557"
"King, Stephen","Stephen King","9781668016138","489","google:cuPPEAAAQBAJ,isbn:9781668016138,barnesnoble:1142967024,amazon:B0BSRFPQXV,goodreads:65916344,mobi-asin:B0BSRFPQXV","2023-09-05T00:00:00+05:30","Scribner","Suspense, Fiction, Horror, Psychological, Thrillers","Holly","b8376e63-ce75-441d-a86b-6cb67cfd5543"
"Henry, Emily","Emily Henry","9780593334836","490","amazon:0593440870,isbn:9780593334836,goodreads:58690308","2022-05-03T05:30:00+05:30","Penguin Books Ltd","Romance, Contemporary, Adult","Book Lovers","d2ba97db-f392-46c4-b163-7dbad0fab409"
"Olsen, Gregg","Gregg Olsen","9781542005241","491","goodreads:45299992,amazon:B07Q5TL9SQ,isbn:9781542005241,mobi-asin:B07Q5TL9SQ","2019-12-01T13:30:00+05:30","Thomas & Mercer","Crime, Thriller, Mystery, Horror, Biography","If You Tell","4ac8aed7-9d29-42d7-9bcc-9042ac9e74b6"
"Forsyth, Frederick","Frederick Forsyth","9780399165276","492","goodreads:18474777,isbn:9780399165276,mobi-asin:B00C5R8364,google:R4U9nCqaAGIC,amazon:0399165274","2013-08-20T05:30:00+05:30","Penguin","Thrillers, Fiction, Suspense, General, Thriller, Mystery, Crime","The Kill List","ac2db03b-3dc6-4749-a235-129cc38715a2"
"Herbert, Frank","Frank Herbert","9780441172719","493","mobi-asin:f9844f36-3979-49ef-a00c-512228292903,google:B1hSG45JCX4C,ff:h/frank-herbert/dune,amazon:0441172717,goodreads:104,isbn:9780441172719","1965-06-01T13:30:00+05:30","Ace","Classics, Fiction, Science Fiction, Fantasy, Action & Adventure, General, Adult, Adventure, Science-Fiction:Dune","Dune","b6debc50-765d-4330-bb45-4d9aeed68ec4"
"Herbert, Frank","Frank Herbert","9780593098233","494","isbn:9780593098233,amazon:0593098234,goodreads:44492285","2008-02-05T05:30:00+05:30","Penguin Publishing Group","Science Fiction, Fantasy, Classics","Dune Messiah","c351d6ec-5266-4623-bc1a-1c01dca88b33"
"Sutter, C. M.","C. M. Sutter","9798407088776","495","goodreads:60198263,amazon:B09R11YDP6,isbn:9798407088776","2022-01-22T13:30:00+05:30","C. M. Sutter","Thriller, Mystery, Crime, Suspense, Horror","Run for Your Life","ba4720e0-67e3-4793-ae51-6f6ef04a32f8"
"Gerritsen, Tess","Tess Gerritsen","9780593063231","496","isbn:9780593063231,amazon:0593063236,goodreads:17426337","2010-01-01T13:30:00+05:30","Transworld Digital","Mystery, Thriller, Crime, Suspense, Adult","The Killing Place","fe98828e-d4b2-41a0-a0e5-2b1bad1e1f45"
"Painter, Lynn","Lynn Painter","9781534467637","498","isbn:9781534467637,mobi-asin:96f8534b-8982-4681-8a3c-27a2b2e4c6c4,goodreads:55710822,amazon:1534467637","2021-05-04T12:30:00+05:30","Simon & Schuster Books for Young Readers","Romance, Young Adult, Contemporary","Better Than the Movies","3ab4bf95-a2d6-48e4-9cf4-6c669daff8d9"
